SightDate,Time1,Month,Day,Year,pod,likelypod,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,puget_sound,central_salish,pod_tag
2004-01-01,13:15:00,1,1.0,2004,k,nan,47.3567,-122.3476,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-01,14:00:00,1,1.0,2004,k,nan,47.4177,-122.3619,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-01,15:15:00,1,1.0,2004,k,nan,47.5093,-122.4054,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-01,16:00:00,1,1.0,2004,k,nan,47.5995,-122.4367,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-02,13:00:00,1,2.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-02,13:30:00,1,2.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-02,14:20:00,1,2.0,2004,k,nan,47.8987,-122.363,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-02,14:20:00,1,2.0,2004,k, ,47.9053,-122.375,BCCSN,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-02,15:00:00,1,2.0,2004,k,nan,47.8987,-122.363,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-03,16:45:00,1,3.0,2004,k?,nan,47.4637,-122.4933,TWM-SA-Pub,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-03,16:45:00,1,3.0,2004,orcas, ,47.4333,-122.5167,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-07,12:15:00,1,7.0,2004,orcas, ,48.1639,-123.7807,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,0.0,
2004-01-08,10:15:00,1,8.0,2004,orcas,nan,48.1021,-122.449,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-08,10:50:00,1,8.0,2004,srs?, ,48.0975,-122.4859,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-08,11:30:00,1,8.0,2004,k?,nan,48.1232,-122.5229,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-08,13:45:00,1,8.0,2004,orcas,nan,48.2361,-122.5749,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-01-09,08:15:00,1,9.0,2004,orcas,nan,48.0625,-122.4045,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,08:15:00,1,9.0,2004,orcas, ,48.0856,-122.4445,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,08:55:00,1,9.0,2004,orcas,nan,48.0625,-122.4045,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,10:00:00,1,9.0,2004,srs?, ,47.3083,-122.5017,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,10:30:00,1,9.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,10:30:00,1,9.0,2004,orcas,nan,47.2995,-122.5334,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,12:15:00,1,9.0,2004,l,nan,47.2995,-122.5334,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,1.0,0.0,L
2004-01-09,13:00:00,1,9.0,2004,orcas,nan,47.1808,-122.6152,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,13:00:00,1,9.0,2004,srs?, ,47.3083,-122.5017,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,14:15:00,1,9.0,2004,l,nan,47.3387,-122.4451,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,1.0,0.0,L
2004-01-09,15:00:00,1,9.0,2004,l,nan,47.3567,-122.3476,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,1.0,0.0,L
2004-01-09,15:30:00,1,9.0,2004,k?,nan,47.2995,-122.5334,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,1.0,0.0,K
2004-01-09,15:30:00,1,9.0,2004,srs?, ,47.3083,-122.5017,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-09,16:00:00,1,9.0,2004,orcas, ,48.8774,-123.3021,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-01-09,16:30:00,1,9.0,2004,l,nan,47.5093,-122.4054,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,1.0,0.0,L
2004-01-10,03:16:00,1,10.0,2004,l, ,48.5158,-123.1535,BCCSN,0,0,0,,0,0,0,,1,0,1,L,0.0,1.0,L
2004-01-10,08:30:00,1,10.0,2004,orcas,nan,47.9811,-122.5625,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-10,08:30:00,1,10.0,2004,orcas, ,47.9809,-122.4982,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-10,09:00:00,1,12.0,2004,orcas,nan,49.1818,-123.88,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-01-10,16:16:00,1,10.0,2004,l,nan,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,0.0,1.0,L
2004-01-12,13:30:00,1,12.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-12,13:30:00,1,12.0,2004,j, ,47.9538,-122.2972,BCCSN,1,0,1,J,0,0,0,,0,0,0,,1.0,0.0,J
2004-01-12,13:45:00,1,12.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-12,14:10:00,1,12.0,2004,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-12,14:30:00,1,12.0,2004,orcas,nan,47.7275,-122.4431,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-12,14:30:00,1,12.0,2004,orcas, ,47.731,-122.4794,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-12,15:30:00,1,12.0,2004,j,nan,48.0625,-122.4045,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,1.0,0.0,J
2004-01-12,17:00:00,1,12.0,2004,j,nan,48.1021,-122.449,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,1.0,0.0,J
2004-01-16,10:35:00,1,16.0,2004,orcas,nan,47.7275,-122.4431,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-16,10:35:00,1,16.0,2004,orcas, ,47.7373,-122.4606,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2004-01-19,13:45:00,1,19.0,2004,j, ,49.3983,-124.5285,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,0.0,J
2004-01-23,17:30:00,1,23.0,2004,orcas,nan,48.4911,-122.9741,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-01-23,17:30:00,1,23.0,2004,srs?, ,48.5422,-122.9836,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-01,10:56:00,2,1.0,2004,j,nan,48.3155,-123.5625,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-01,12:50:00,2,1.0,2004,j,nan,48.4079,-123.39,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-01,13:30:00,2,1.0,2004,j,nan,48.4089,-123.294,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-01,14:30:00,2,1.0,2004,j,nan,48.4089,-123.294,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-06,14:15:00,2,6.0,2004,srs, ,49.1859,-123.8911,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-06,,2,6.0,2004,orcas,nan,49.1301,-123.7099,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-08,10:00:00,2,8.0,2004,orcas, ,48.8453,-123.3308,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-08,11:45:00,2,8.0,2004,orcas, ,48.8606,-123.3336,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-15,,2,15.0,2004,orcas,nan,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-19,13:00:00,2,19.0,2004,j,nan,48.7633,-123.0295,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-19,13:00:00,2,19.0,2004,j, ,48.4572,-123.0366,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-19,13:15:00,2,19.0,2004,j, ,48.7683,-123.1817,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-19,13:30:00,2,19.0,2004,j,nan,48.7453,-123.0889,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-02-19,16:50:00,2,19.0,2004,orcas,nan,48.7958,-123.3604,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-02-19,16:50:00,2,19.0,2004,orcas, ,48.7787,-123.3206,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-09,10:00:00,3,9.0,2004,orcas, ,48.7619,-123.2987,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-09,11:30:00,3,9.0,2004,orcas,nan,48.7958,-123.3604,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-09,11:30:00,3,9.0,2004,orcas, ,48.8,-123.3167,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-10,09:10:00,3,10.0,2004,srs?, ,49.4448,-124.3658,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,0.0,
2004-03-10,10:00:00,3,10.0,2004,j, ,49.5117,-124.0817,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,0.0,J
2004-03-13,11:50:00,3,13.0,2004,orcas, ,49.0,-123.2333,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,14:00:00,3,13.0,2004,orcas, ,48.7213,-123.1401,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,14:15:00,3,13.0,2004,j,nan,48.7453,-123.0889,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,14:15:00,3,13.0,2004,j, ,48.7683,-123.1817,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,14:40:00,3,13.0,2004,orcas, ,48.4572,-123.0366,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,14:40:00,3,13.0,2004,orcas,nan,48.7633,-123.0295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,15:00:00,3,13.0,2004,j, ,48.75,-123.2333,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,15:15:00,3,13.0,2004,orcas,nan,48.7633,-123.0295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,15:15:00,3,13.0,2004,orcas, ,48.761,-123.0955,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-13,16:00:00,3,13.0,2004,j,nan,48.7453,-123.0889,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,16:00:00,3,13.0,2004,j, ,48.7643,-123.0927,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,17:00:00,3,13.0,2004,j,nan,48.711,-123.2655,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,17:00:00,3,13.0,2004,j, ,48.6888,-123.2386,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,,3,13.0,2004,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-13,,3,13.0,2004,l, ,46.9275,-124.1285,BCCSN,0,0,0,,0,0,0,,1,0,1,L,0.0,0.0,L
2004-03-13,,3,13.0,2004,j, ,48.5158,-123.1535,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,14:00:00,3,20.0,2004,j,nan,48.3153,-123.7002,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,14:00:00,3,20.0,2004,j, ,48.32,-123.6175,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,14:45:00,3,20.0,2004,j,nan,48.3155,-123.5625,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,14:45:00,3,20.0,2004,j, ,48.2906,-123.5411,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,18:00:00,3,20.0,2004,j,nan,48.4089,-123.294,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,18:00:00,3,20.0,2004,j, ,48.4001,-123.3066,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,,3,20.0,2004,j,nan,48.412,-123.4553,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-20,,3,20.0,2004,j, ,48.4,-123.3167,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-21,01:00:00,3,21.0,2004,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-21,01:00:00,3,21.0,2004,j, ,48.5417,-122.9983,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-22,06:30:00,3,22.0,2004,orcas,nan,48.9048,-122.7758,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-22,08:40:00,3,22.0,2004,orcas,nan,48.6714,-122.6801,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-22,08:45:00,3,22.0,2004,orcas,nan,48.4885,-122.7661,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-22,08:45:00,3,22.0,2004,orcas, ,48.6809,-122.6837,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-03-29,12:15:00,3,29.0,2004,j, ,48.3507,-123.7228,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-29,13:15:00,3,29.0,2004,j,nan,48.3567,-123.7289,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-03-29,,3,29.0,2004,j,nan,48.3625,-123.9645,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,08:30:00,4,1.0,2004,orcas,nan,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-01,08:34:00,4,1.0,2004,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,08:34:00,4,1.0,2004,j, ,48.5485,-123.1643,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,14:25:00,4,1.0,2004,j,nan,48.7633,-123.0295,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,14:25:00,4,1.0,2004,j, ,48.7217,-123.1432,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,,4,1.0,2004,j,nan,48.7399,-123.1448,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-01,,4,1.0,2004,j, ,48.7603,-123.1119,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-03,11:00:00,4,3.0,2004,j,nan,49.0701,-123.1709,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-04,15:30:00,4,4.0,2004,orcas, ,48.7213,-123.1401,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-04,18:30:00,4,4.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-04,18:30:00,4,4.0,2004,j, ,48.5,-123.15,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-04,19:00:00,4,4.0,2004,j, ,48.543,-123.1638,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-04,19:20:00,4,4.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-07,16:45:00,4,7.0,2004,orcas,nan,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-09,07:00:00,4,9.0,2004,orcas,nan,48.5386,-122.9544,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-09,08:00:00,4,9.0,2004,orcas,nan,48.5799,-122.8595,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-09,09:15:00,4,9.0,2004,orcas,nan,48.5799,-122.8595,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-09,10:30:00,4,9.0,2004,orcas,nan,48.5799,-122.8595,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-09,14:00:00,4,9.0,2004,j,nan,48.6714,-122.6801,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-09,14:00:00,4,9.0,2004,j, ,48.7256,-122.764,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-09,15:30:00,4,9.0,2004,j,nan,48.7629,-122.896,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-09,15:30:00,4,9.0,2004,j, ,48.7213,-123.1401,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-09,,4,9.0,2004,j,nan,48.9892,-123.1057,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,11:20:00,4,11.0,2004,orcas,nan,48.9892,-123.1057,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-11,11:20:00,4,11.0,2004,j, ,48.9697,-123.085,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,11:25:00,4,11.0,2004,j, ,49.0333,-123.2667,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,17:00:00,4,11.0,2004,j,nan,48.7629,-122.896,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,18:00:00,4,11.0,2004,j,nan,48.7099,-122.7554,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,18:00:00,4,11.0,2004,j, ,48.682,-122.7544,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,,4,11.0,2004,j,nan,48.9892,-123.1057,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,,4,11.0,2004,j,nan,48.9892,-123.1057,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,,4,11.0,2004,j, ,48.9697,-123.085,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-11,,4,11.0,2004,j, ,49.0073,-123.1551,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-16,,4,16.0,2004,orcas,nan,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-21,19:45:00,4,21.0,2004,j, ,48.7213,-123.1401,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-23,11:00:00,4,23.0,2004,orcas,nan,48.8866,-123.295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-23,11:50:00,4,23.0,2004,orcas,nan,48.8488,-123.3539,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-23,11:50:00,4,23.0,2004,orcas, ,48.8581,-123.3148,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-24,08:55:00,4,24.0,2004,j, ,48.5737,-123.1827,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,08:55:00,4,24.0,2004,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,11:00:00,4,24.0,2004,j,nan,48.4127,-123.0982,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,11:00:00,4,24.0,2004,j, ,48.4058,-123.1086,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,19:00:00,4,24.0,2004,j,nan,48.3627,-123.3651,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,19:00:00,4,24.0,2004,j, ,48.5,-123.15,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-24,,4,24.0,2004,orcas, ,48.354,-123.043,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-27,,4,27.0,2004,orcas, ,49.0036,-123.1345,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-28,07:40:00,4,28.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,07:40:00,4,28.0,2004,j, ,48.4883,-123.1202,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,11:30:00,4,28.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,11:30:00,4,28.0,2004,j, ,48.5,-123.15,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,13:30:00,4,28.0,2004,j,nan,48.6266,-123.1794,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,13:30:00,4,28.0,2004,j, ,48.6889,-123.2382,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,14:30:00,4,28.0,2004,j, ,48.6833,-123.25,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,15:30:00,4,28.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,18:30:00,4,28.0,2004,j,nan,48.4454,-123.0354,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,18:30:00,4,28.0,2004,j, ,48.4572,-123.0366,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,20:30:00,4,28.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,20:30:00,4,28.0,2004,j, ,48.5124,-123.1466,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-28,,4,28.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-29,16:00:00,4,29.0,2004,j,nan,48.3155,-123.5625,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-29,16:00:00,4,29.0,2004,j, ,48.3507,-123.7228,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-29,18:00:00,4,29.0,2004,j,nan,48.3155,-123.5625,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-29,18:00:00,4,29.0,2004,j, ,48.2973,-123.5186,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-29,20:00:00,4,29.0,2004,j,nan,48.4079,-123.39,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,00:10:00,4,30.0,2004,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,00:10:00,4,30.0,2004,j, ,48.5,-123.15,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,07:30:00,4,30.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,11:00:00,4,30.0,2004,j, ,49.1832,-123.2965,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,13:00:00,4,30.0,2004,j, ,49.15,-123.3,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,17:30:00,4,30.0,2004,j,nan,48.84,-122.7568,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,17:30:00,4,30.0,2004,j, ,48.8623,-122.7505,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-04-30,19:00:00,4,30.0,2004,orcas,nan,48.84,-122.7568,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-04-30,19:00:00,4,30.0,2004,orcas, ,48.8584,-122.7557,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2004-05-01,07:30:00,5,1.0,2004,j,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-05-01,07:30:00,5,1.0,2004,j, ,48.4667,-123.0833,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-05-01,07:51:00,5,1.0,2004,j,nan,48.4454,-123.0354,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2004-05-01,07:51:00,5,1.0,2004,j, ,48.4572,-123.0366,BCCSN,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
